Emoji,English,Spanish,French,German,Italian
🕥,"Ten-Thirty","Diez y media","Dix heures trente","Halb elf","Le dieci e mezza"
🕚,"Eleven O’clock","Las once en punto","Onze heures","Elf Uhr","Le undici"
🕦,"Eleven-Thirty","Once y media","Onze heures trente","Halb zwölf","Le undici e mezza"
🌀,"Cyclone","Ciclón","Cyclone","Zyklon","Ciclone"
♠,"Spade Suit","Palo de picas","Pique","Pik","Picche"
♥,"Heart Suit","Palo de corazones","Cœur","Herz","Cuori"
♦,"Diamond Suit","Palo de diamantes","Carreau","Karo","Quadri"
♣,"Club Suit","Palo de tréboles","Trèfle","Kreuz","Fiori"
🃏,"Joker","Comodín","Joker","Joker","Jolly"
🀄,"Mahjong Red Dragon","Dragón rojo de mahjong","Dragon rouge de mahjong","Roter Drache Mahjong","Drago rosso Mahjong"
🎴,"Flower Playing Cards","Cartas de flores","Cartes de fleurs","Blumenkarten","Carte da gioco con fiori"
🔇,"Muted Speaker","Altavoz silenciado","Haut-parleur muet","Stummer Lautsprecher","Altoparlante silenziato"
🔈,"Speaker Low Volume","Altavoz con volumen bajo","Haut-parleur faible volume","Lautsprecher leise","Altoparlante a volume basso"
🔉,"Speaker Medium Volume","Altavoz con volumen medio","Haut-parleur volume moyen","Lautsprecher mittlere Lautstärke","Altoparlante a volume medio"
🔊,"Speaker High Volume","Altavoz con volumen alto","Haut-parleur fort volume","Lautsprecher laute Lautstärke","Altoparlante ad alto volume"
📢,"Loudspeaker","Altavoz","Haut-parleur","Lautsprecher","Altoparlante"
📣,"Megaphone","Megáfono","Mégaphone","Megafon","Megafono"
📯,"Postal Horn","Cuerno postal","Cor postal","Posthorn","Corno postale"
🔔,"Bell","Campana","Cloche","Glocke","Campanello"
🔕,"Bell With Slash","Campana con barra","Cloche barrée","Glocke mit Schrägstrich","Campanello barrato"
🎵,"Musical Note","Nota musical","Note de musique","Musiknote","Nota musicale"
🎶,"Musical Notes","Notas musicales","Notes de musique","Musiknoten","Note musicali"
🏧,"Atm Sign","Señal de cajero automático","Signe de guichet automatique","Geldautomat-Schild","Bancomat"
🚮,"Litter in Bin Sign","Señal de basura en el contenedor","Signe de déchets dans la poubelle","Müll im Mülleimer Schild","Segnale di rifiuti nel cestino"
🚰,"Potable Water","Agua potable","Eau potable","Trinkwasser","Acqua potabile"
♿,"Wheelchair Symbol","Símbolo de silla de ruedas","Symbole de fauteuil roulant","Rollstuhl-Symbol","Simbolo di sedia a rotelle"
🚹,"Men’s Room","Baño de hombres","Toilettes pour hommes","Herrentoilette","Bagno per uomini"
🚺,"Women’s Room","Baño de mujeres","Toilettes pour femmes","Damentoilette","Bagno per donne"
🚻,"Restroom","Baño","Toilettes","Toilette","Bagno"
🚼,"Baby Symbol","Símbolo de bebé","Symbole bébé","Baby-Symbol","Simbolo di bambino"
🚾,"Water Closet","Inodoro","Toilettes","Toilette","Gabinetto"
⚠,"Warning","Advertencia","Avertissement","Warnung","Avvertimento"
🚸,"Children Crossing","Niños cruzando","Enfants traversant","Kinder überqueren","Bambini che attraversano"
⛔,"No Entry","Prohibido el paso","Entrée interdite","Eintritt verboten","Vietato l'ingresso"
🚫,"Prohibited","Prohibido","Interdit","Verboten","Vietato"
🚳,"No Bicycles","No bicicletas","Pas de vélos","Keine Fahrräder","Niente biciclette"
🚭,"No Smoking","No fumar","Interdiction de fumer","Rauchen verboten","Vietato fumare"
🚯,"No Littering","No tirar basura","Ne pas jeter de déchets","Kein Abfall","Non gettare rifiuti"
🚱,"Non-Potable Water","Agua no potable","Eau non potable","Kein Trinkwasser","Acqua non potabile"
🚷,"No Pedestrians","No peatones","Pas de piétons","Keine Fußgänger","Niente pedoni"
🔞,"No One Under Eighteen","Prohibido menores de 18 años","Interdit aux moins de 18 ans","Keine Jugendfreigabe","Vietato ai minori di 18 anni"
☢,"Radioactive","Radiactivo","Radioactif","Radioaktiv","Radioattivo"
☣,"Biohazard","Biológico peligroso","Biologique dangereux","Biogefährdung","Biorischio"
⬆,"Up Arrow","Flecha hacia arriba","Flèche vers le haut","Pfeil nach oben","Freccia su"
↗,"Up-Right Arrow","Flecha hacia arriba a la derecha","Flèche vers le haut à droite","Pfeil nach oben rechts","Freccia in alto a destra"
➡,"Right Arrow","Flecha hacia la derecha","Flèche vers la droite","Pfeil nach rechts","Freccia a destra"
↘,"Down-Right Arrow","Flecha hacia abajo a la derecha","Flèche vers le bas à droite","Pfeil nach unten rechts","Freccia in basso a destra"
⬇,"Down Arrow","Flecha hacia abajo","Flèche vers le bas","Pfeil nach unten","Freccia giù"
↙,"Down-Left Arrow","Flecha hacia abajo a la izquierda","Flèche vers le bas à gauche","Pfeil nach unten links","Freccia in basso a sinistra"
⬅,"Left Arrow","Flecha hacia la izquierda","Flèche vers la gauche","Pfeil nach links","Freccia a sinistra"
↖,"Up-Left Arrow","Flecha hacia arriba a la izquierda","Flèche vers le haut à gauche","Pfeil nach oben links","Freccia in alto a sinistra"
↕,"Up-Down Arrow","Flecha arriba abajo","Flèche haut bas","Pfeil auf ab","Freccia su giù"
↔,"Left-Right Arrow","Flecha izquierda derecha","Flèche gauche droite","Pfeil links rechts","Freccia sinistra destra"
↩,"Right Arrow Curving Left","Flecha hacia la derecha curvando a la izquierda","Flèche vers la droite courbée vers la gauche","Pfeil nach rechts gebogen nach links","Freccia a destra curvata a sinistra"
↪,"Left Arrow Curving Right","Flecha hacia la izquierda curvando a la derecha","Flèche vers la gauche courbée vers la droite","Pfeil nach links gebogen nach rechts","Freccia a sinistra curvata a destra"
⤴,"Right Arrow Curving Up","Flecha hacia la derecha curvando hacia arriba","Flèche vers la droite courbée vers le haut","Pfeil nach rechts gebogen nach oben","Freccia a destra curvata in alto"
⤵,"Right Arrow Curving Down","Flecha hacia la derecha curvando hacia abajo","Flèche vers la droite courbée vers le bas","Pfeil nach rechts gebogen nach unten","Freccia a destra curvata in basso"
🔃,"Clockwise Vertical Arrows","Flechas verticales en el sentido de las agujas del reloj","Flèches verticales dans le sens des aiguilles d'une montre","Vertikale Pfeile im Uhrzeigersinn","Frecce verticali in senso orario"
🔄,"Counterclockwise Arrows Button","Botón de flechas en sentido antihorario","Bouton flèches antihoraire","Schaltfläche Pfeile gegen den Uhrzeigersinn","Pulsante frecce in senso antiorario"
🔙,"Back Arrow","Flecha hacia atrás","Flèche arrière","Rückwärtspfeil","Freccia indietro"
🔚,"End Arrow","Flecha de fin","Flèche de fin","Endpfeil","Freccia fine"
🔛,"On! Arrow","Flecha de encendido","Flèche marche","Ein-Pfeil","Freccia accensione"
🔜,"Soon Arrow","Flecha de pronto","Flèche bientôt","Bald-Pfeil","Freccia presto"
🔝,"Top Arrow","Flecha hacia arriba","Flèche vers le haut","Pfeil nach oben","Freccia in alto"
🛐,"Place of Worship","Lugar de culto","Lieu de culte","Gebetsstätte","Luogo di culto"
⚛,"Atom Symbol","Símbolo del átomo","Symbole de l'atome","Atomsymbol","Simbolo dell'atomo"
🕉,"Om","Om","Om","Om","Om"
✡,"Star of David","Estrella de David","Étoile de David","Davidstern","Stella di David"
☸,"Wheel of Dharma","Rueda del Dharma","Roue du Dharma","Dharmachakra","Ruota del Dharma"
☯,"Yin Yang","Yin yang","Yin et yang","Yin und Yang","Yin e Yang"
✝,"Latin Cross","Cruz latina","Croix latine","Lateinisches Kreuz","Croce latina"
☦,"Orthodox Cross","Cruz ortodoxa","Croix orthodoxe","Orthodoxes Kreuz","Croce ortodossa"
☪,"Star and Crescent","Estrella y creciente","Croissant et étoile","Stern und Halbmond","Stella e mezzaluna"
☮,"Peace Symbol","Símbolo de la paz","Symbole de la paix","Friedenssymbol","Simbolo della pace"
🕎,"Menorah","Menorá","Menorah","Menora","Menorah"
🔯,"Dotted Six-Pointed Star","Estrella de seis puntos con puntos","Étoile à six branches pointée","Sechszackiger Stern mit Punkten","Stella a sei punte"
♈,"Aries","Aries","Bélier","Widder","Ariete"
♉,"Taurus","Tauro","Taureau","Stier","Toro"
♊,"Gemini","Géminis","Gémeaux","Zwillinge","Gemelli"
♋,"Cancer","Cáncer","Cancer","Krebs","Cancro"
♌,"Leo","Leo","Lion","Löwe","Leone"
♍,"Virgo","Virgo","Vierge","Jungfrau","Vergine"
♎,"Libra","Libra","Balance","Waage","Bilancia"
♏,"Scorpio","Escorpio","Scorpion","Skorpion","Scorpione"
♐,"Sagittarius","Sagitario","Sagittaire","Schütze","Sagittario"
♑,"Capricorn","Capricornio","Capricorne","Steinbock","Capricorno"
♒,"Aquarius","Acuario","Verseau","Wassermann","Aquario"
♓,"Pisces","Piscis","Poissons","Fische","Pesci"
⛎,"Ophiuchus","Ofiuco","Ophiuchus","Schlangenträger","Ofiuco"
🔀,"Shuffle Tracks Button","Botón de pistas aleatorias","Bouton pistes aléatoires","Zufallswiedergabe-Schaltfläche","Pulsante riproduzione casuale"
🔁,"Repeat Button","Botón de repetición","Bouton répéter","Wiederholungsschaltfläche","Pulsante ripeti"
🔂,"Repeat Single Button","Botón de repetición única","Bouton répéter une seule","Einzelwiederholungsschaltfläche","Pulsante ripeti uno"
▶,"Play Button","Botón de reproducción","Bouton lecture","Wiedergabe-Schaltfläche","Pulsante play"
⏩,"Fast-Forward Button","Botón de avance rápido","Bouton avance rapide","Schneller Vorlauf-Schaltfläche","Pulsante avanti veloce"
◀,"Reverse Button","Botón de retroceso","Bouton retour","Rücklauftaste","Pulsante indietro"
⏪,"Fast Reverse Button","Botón de retroceso rápido","Bouton retour rapide","Schneller Rücklauf-Schaltfläche","Pulsante indietro veloce"
🔼,"Upwards Button","Botón hacia arriba","Bouton vers le haut","Aufwärtsschaltfläche","Pulsante su"
⏫,"Fast Up Button","Botón de subida rápida","Bouton monter rapide","Schneller Aufwärts-Schaltfläche","Pulsante su veloce"
🔽,"Downwards Button","Botón hacia abajo","Bouton vers le bas","Abwärtsschaltfläche","Pulsante giù"
⏬,"Fast Down Button","Botón de bajada rápida","Bouton descendre rapide","Schneller Abwärts-Schaltfläche","Pulsante giù veloce"
⏹,"Stop Button","Botón de detener","Bouton arrêter","Stopp-Schaltfläche","Pulsante stop"
⏏,"Eject Button","Botón de expulsar","Bouton éjecter","Auswerfen-Schaltfläche","Pulsante espelli"
🎦,"Cinema","Cine","Cinéma","Kino","Cinema"
🔅,"Dim Button","Botón de atenuación","Bouton d'atténuation","Dimm-Schaltfläche","Pulsante abbassa luci"
🔆,"Bright Button","Botón de brillo","Bouton de luminosité","Helligkeitsschaltfläche","Pulsante aumenta luci"
📶,"Antenna Bars","Barra de antena","Barres d'antenne","Antennenbalken","Barra antenna"
📳,"Vibration Mode","Modo vibración","Mode vibreur","Vibrationsmodus","Modalità vibrazione"
📴,"Mobile Phone Off","Teléfono móvil apagado","Téléphone portable éteint","Handy aus","Cellulare spento"
♻,"Recycling Symbol","Símbolo de reciclaje","Symbole de recyclage","Recycling-Symbol","Simbolo di riciclaggio"
🔱,"Trident Emblem","Emblema de tridente","Emblème de trident","Dreizack-Emblem","Emblema del tridente"
📛,"Name Badge","Placa con nombre","Badge nominatif","Namensschild","Targhetta con nome"
🔰,"Japanese Symbol for Beginner","Símbolo japonés para principiante","Symbole japonais pour débutant","Japanisches Anfängersymbol","Simbolo giapponese per principianti"
⭕,"Heavy Large Circle","Círculo grande pesado","Grand cercle lourd","Schwerer großer Kreis","Cerchio grande pesante"
✅,"White Heavy Check Mark","Marca de verificación pesada blanca","Coche lourd blanc","Schweres weißes Häkchen","Segno di spunta bianco pesante"
☑,"Ballot Box With Check","Casilla de verificación con marca","Case à cocher avec coche","Kontrollkästchen mit Häkchen","Casella di controllo con spunta"
✔,"Heavy Check Mark","Marca de verificación pesada","Coche lourd","Schweres Häkchen","Segno di spunta pesante"
✖,"Heavy Multiplication X","Multiplicación X pesada","Multiplication X lourde","Schweres Multiplikations-X","Moltiplicazione X pesante"
❌,"Cross Mark","Marca de cruz","Croix","Kreuz","Croce"
❎,"Cross Mark Button","Botón de marca de cruz","Bouton de croix","Kreuzschaltfläche","Pulsante croce"
➕,"Heavy Plus Sign","Signo más pesado","Signe plus lourd","Schweres Pluszeichen","Segno più pesante"
➖,"Heavy Minus Sign","Signo menos pesado","Signe moins lourd","Schweres Minuszeichen","Segno meno pesante"
➗,"Heavy Division Sign","Signo de división pesado","Signe de division lourd","Schweres Divisionszeichen","Segno di divisione pesante"
➰,"Curly Loop","Bucle rizado","Boucle","Schleife","Anello ricciuto"
➿,"Double Curly Loop","Bucle rizado doble","Double boucle","Doppelte Schleife","Doppio anello ricciuto"
〽,"Part Alternation Mark","Marca de alternancia de parte","Marque d'alternance de partie","Teilwechselmarke","Segno di alternanza di parte"
✳,"Eight-Spoked Asterisk","Asterisco de ocho radios","Astérisque à huit branches","Achtzackiger Stern","Asterisco a otto punte"
✴,"Eight-Pointed Star","Estrella de ocho puntas","Étoile à huit branches","Achtzackiger Stern","Stella a otto punte"
❇,"Sparkle","Chispa","Étincelle","Funkeln","Scintilla"
‼,"Double Exclamation Mark","Signo de exclamación doble","Point d'exclamation double","Doppelausrufezeichen","Punto esclamativo doppio"
⁉,"Exclamation Question Mark","Signo de interrogación y exclamación","Point d'interrogation et d'exclamation","Frage- und Ausrufezeichen","Punto interrogativo ed esclamativo"
❓,"Question Mark","Signo de interrogación","Point d'interrogation","Fragezeichen","Punto interrogativo"
❔,"White Question Mark","Signo de interrogación blanco","Point d'interrogation blanc","Weißes Fragezeichen","Punto interrogativo bianco"
❕,"White Exclamation Mark","Signo de exclamación blanco","Point d'exclamation blanc","Weißes Ausrufezeichen","Punto esclamativo bianco"
❗,"Exclamation Mark","Signo de exclamación","Point d'exclamation","Ausrufezeichen","Punto esclamativo"
©,"Copyright","Derechos de autor","Droits d'auteur","Urheberrecht","Diritti d'autore"
®,"Registered","Registrado","Enregistré","Registriert","Registrato"
™,"Trade Mark","Marca comercial","Marque commerciale","Warenzeichen","Marchio commerciale"
#️⃣,"Keycap Number Sign","Tecla de signo numérico","Touche de signe numérique","Zifferntaste","Tasto numerico"
0️⃣,"Keycap Digit Zero","Tecla de dígito cero","Touche de chiffre zéro","Zifferntaste Null","Tasto numero zero"
1️⃣,"Keycap Digit One","Tecla de dígito uno","Touche de chiffre un","Zifferntaste Eins","Tasto numero uno"
2️⃣,"Keycap Digit Two","Tecla de dígito dos","Touche de chiffre deux","Zifferntaste Zwei","Tasto numero due"
3️⃣,"Keycap Digit Three","Tecla de dígito tres","Touche de chiffre trois","Zifferntaste Drei","Tasto numero tre"
4️⃣,"Keycap Digit Four","Tecla de dígito cuatro","Touche de chiffre quatre","Zifferntaste Vier","Tasto numero quattro"
5️⃣,"Keycap Digit Five","Tecla de dígito cinco","Touche de chiffre cinq","Zifferntaste Fünf","Tasto numero cinque"
6️⃣,"Keycap Digit Six","Tecla de dígito seis","Touche de chiffre six","Zifferntaste Sechs","Tasto numero sei"
7️⃣,"Keycap Digit Seven","Tecla de dígito siete","Touche de chiffre sept","Zifferntaste Sieben","Tasto numero sette"
8️⃣,"Keycap Digit Eight","Tecla de dígito ocho","Touche de chiffre huit","Zifferntaste Acht","Tasto numero otto"
9️⃣,"Keycap Digit Nine","Tecla de dígito nueve","Touche de chiffre neuf","Zifferntaste Neun","Tasto numero nove"
🔟,"Keycap 10","Tecla 10","Touche 10","Taste 10","Tasto 10"
💯,"Hundred Points","Cien puntos","Cent points","Hundert Punkte","Cento punti"
🔠,"Input Latin Uppercase","Entrada de mayúsculas latinas","Entrée majuscules latines","Eingabe lateinische Großbuchstaben","Input maiuscole latine"
🔡,"Input Latin Lowercase","Entrada de minúsculas latinas","Entrée minuscules latines","Eingabe lateinische Kleinbuchstaben","Input minuscole latine"
🔢,"Input Numbers","Entrada de números","Entrée de chiffres","Zahleneingabe","Input numeri"
🔣,"Input Symbols","Entrada de símbolos","Entrée de symboles","Symboleingabe","Input simboli"
🔤,"Input Latin Letters","Entrada de letras latinas","Entrée de lettres latines","Eingabe lateinischer Buchstaben","Input lettere latine"
🅰,"A Button (blood Type)","Botón A (tipo de sangre)","Bouton A (groupe sanguin)","A-Taste (Blutgruppe)","Pulsante A (gruppo sanguigno)"
🆎,"Ab Button (blood Type)","Botón AB (tipo de sangre)","Bouton AB (groupe sanguin)","AB-Taste (Blutgruppe)","Pulsante AB (gruppo sanguigno)"
🅱,"B Button (blood Type)","Botón B (tipo de sangre)","Bouton B (groupe sanguin)","B-Taste (Blutgruppe)","Pulsante B (gruppo sanguigno)"
🆑,"Cl Button","Botón CL","Bouton CL","CL-Taste","Pulsante CL"
🆒,"Cool Button","Botón Cool","Bouton Cool","Cool-Taste","Pulsante Cool"
🆓,"Free Button","Botón Gratis","Bouton Gratuit","Kostenlos-Taste","Pulsante Gratis"
ℹ,"Information","Información","Information","Information","Informazione"
🆔,"Id Button","Botón ID","Bouton ID","ID-Taste","Pulsante ID"
Ⓜ,"Circled M","M en círculo","M cerclé","M im Kreis","M cerchiata"
🆕,"New Button","Botón Nuevo","Bouton Nouveau","Neu-Taste","Pulsante Nuovo"
🆖,"Ng Button","Botón NG","Bouton NG","NG-Taste","Pulsante NG"
🅾,"O Button (blood Type)","Botón O (tipo de sangre)","Bouton O (groupe sanguin)","O-Taste (Blutgruppe)","Pulsante O (gruppo sanguigno)"
🆗,"Ok Button","Botón OK","Bouton OK","OK-Taste","Pulsante OK"
🅿,"P Button","Botón P","Bouton P","P-Taste","Pulsante P"
🆘,"Sos Button","Botón SOS","Bouton SOS","SOS-Taste","Pulsante SOS"
🆙,"Up! Button","Botón ¡Arriba!","Bouton Haut!","Hoch-Taste","Pulsante Su!"
🆚,"Vs Button","Botón VS","Bouton VS","VS-Taste","Pulsante VS"
🈁,"Japanese “here” Button","Botón japonés “aquí”","Bouton japonais “ici”","Japanisches „hier“-Taste","Pulsante giapponese “qui”"
🈂,"Japanese “service Charge” Button","Botón japonés “cargo por servicio”","Bouton japonais “frais de service”","Japanisches „Servicegebühr“-Taste","Pulsante giapponese “servizio a pagamento”"
🈷,"Japanese “monthly Amount” Button","Botón japonés “cantidad mensual”","Bouton japonais “montant mensuel”","Japanisches „Monatsbetrag“-Taste","Pulsante giapponese “importo mensile”"
🈶,"Japanese “not Free of Charge” Button","Botón japonés “no gratuito”","Bouton japonais “non gratuit”","Japanisches „Nicht kostenlos“-Taste","Pulsante giapponese “non gratuito”"
🈯,"Japanese “reserved” Button","Botón japonés “reservado”","Bouton japonais “réservé”","Japanisches „Reserviert“-Taste","Pulsante giapponese “riservato”"
🉐,"Japanese “bargain” Button","Botón japonés “gangas”","Bouton japonais “bonne affaire”","Japanisches „Schnäppchen“-Taste","Pulsante giapponese “affare”"
🈹,"Japanese “discount” Button","Botón japonés “descuento”","Bouton japonais “remise”","Japanisches „Rabatt“-Taste","Pulsante giapponese “sconto”"
🈴,"Japanese “open for Business” Button","Botón japonés “abierto para negocios”","Bouton japonais “ouvert pour affaires”","Japanisches „Geöffnet für Geschäfte“-Taste","Pulsante giapponese “aperto per affari”"
🈳,"Japanese “vacancy” Button","Botón japonés “vacante”","Bouton japonais “vacance”","Japanisches „Vakanz“-Taste","Pulsante giapponese “posto vacante”"
㊗,"Japanese “congratulations” Button","Botón japonés “felicitaciones”","Bouton japonais “félicitations”","Japanisches „Glückwunsch“-Taste","Pulsante giapponese “congratulazioni”"
㊙,"Japanese “secret” Button","Botón japonés “secreto”","Bouton japonais “secret”","Japanisches „Geheimnis“-Taste","Pulsante giapponese “segreto”"
🈺,"Japanese “open for Business” Button","Botón japonés “abierto para negocios”","Bouton japonais “ouvert pour affaires”","Japanisches „Geöffnet für Geschäfte“-Taste","Pulsante giapponese “aperto per affari”"
🈵,"Japanese “no Vacancy” Button","Botón japonés “no hay vacantes”","Bouton japonais “pas de vacance”","Japanisches „Keine Vakanz“-Taste","Pulsante giapponese “nessun posto vacante”"
Emoji,English,Spanish,French,German,Italian
🇦🇽,"Aland Islands","Islas Åland","Îles Åland","Åland-Inseln","Isole Åland"
🇦🇶,"Antarctica","Antártida","Antarctique","Antarktis","Antartide"
🇦🇬,"Antigua & Barbuda","Antigua y Barbuda","Antigua-et-Barbuda","Antigua und Barbuda","Antigua e Barbuda"
🇦🇷,"Argentina","Argentina","Argentine","Argentinien","Argentina"
🇦🇸,"American Samoa","Samoa Americana","Samoa américaines","Amerikanisch-Samoa","Samoa Americane"
🇦🇹,"Austria","Austria","Autriche","Österreich","Austria"
🇦🇺,"Australia","Australia","Australie","Australien","Australia"
🇦🇼,"Aruba","Aruba","Aruba","Aruba","Aruba"
🇦🇿,"Azerbaijan","Azerbaiyán","Azerbaïdjan","Aserbaidschan","Azerbaigian"
🇧🇦,"Bosnia & Herzegovina","Bosnia y Herzegovina","Bosnie-Herzégovine","Bosnien und Herzegowina","Bosnia ed Erzegovina"
🇧🇧,"Barbados","Barbados","Barbade","Barbados","Barbados"
🇧🇩,"Bangladesh","Bangladés","Bangladesh","Bangladesch","Bangladesh"
🇧🇪,"Belgium","Bélgica","Belgique","Belgien","Belgio"
🇧🇫,"Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso"
🇧🇬,"Bulgaria","Bulgaria","Bulgarie","Bulgarien","Bulgaria"
🇧🇭,"Bahrain","Bahrein","Bahreïn","Bahrain","Bahrein"
🇧🇮,"Burundi","Burundi","Burundi","Burundi","Burundi"
🇧🇯,"Benin","Benín","Bénin","Benin","Benin"
🇧🇱,"St. Barthélemy","San Bartolomé","Saint-Barthélemy","St. Barthélemy","Saint Barthélemy"
🇧🇲,"Bermuda","Bermudas","Bermudes","Bermuda","Bermuda"
🇧🇳,"Brunei","Brunéi","Brunei","Brunei","Brunei"
🇧🇴,"Bolivia","Bolivia","Bolivie","Bolivien","Bolivia"
🇧🇶,"Caribbean Netherlands","Países Bajos Caribeños","Pays-Bas caribéens","Karibische Niederlande","Paesi Bassi Caraibici"
🇧🇷,"Brazil","Brasil","Brésil","Brasilien","Brasile"
🇧🇸,"Bahamas","Bahamas","Bahamas","Bahamas","Bahamas"
🇧🇹,"Bhutan","Bután","Bhoutan","Bhutan","Bhutan"
🇧🇻,"Bouvet Island","Isla Bouvet","Île Bouvet","Bouvetinsel","Isola Bouvet"
🇧🇼,"Botswana","Botsuana","Botswana","Botsuana","Botswana"
🇧🇾,"Belarus","Bielorrusia","Biélorussie","Weißrussland","Bielorussia"
🇧🇿,"Belize","Belice","Belize","Belize","Belize"
🇨🇦,"Canada","Canadá","Canada","Kanada","Canada"
🇨🇨,"Cocos (Keeling) Islands","Islas Cocos","Îles Cocos","Kokosinseln","Isole Cocos"
🇨🇩,"Congo - Kinshasa","Congo - Kinshasa","Congo - Kinshasa","Kongo - Kinshasa","Congo - Kinshasa"
🇨🇫,"Central African Republic","República Centroafricana","République centrafricaine","Zentralafrikanische Republik","Repubblica Centrafricana"
🇨🇬,"Congo - Brazzaville","Congo - Brazzaville","Congo - Brazzaville","Kongo - Brazzaville","Congo - Brazzaville"
🇨🇭,"Switzerland","Suiza","Suisse","Schweiz","Svizzera"
🇨🇮,"Côte D’Ivoire","Costa de Marfil","Côte d'Ivoire","Elfenbeinküste","Costa d'Avorio"
🇨🇰,"Cook Islands","Islas Cook","Îles Cook","Cookinseln","Isole Cook"
🇨🇱,"Chile","Chile","Chili","Chile","Cile"
🇨🇲,"Cameroon","Camerún","Cameroun","Kamerun","Camerun"
🇨🇳,"China","China","Chine","China","Cina"
🇨🇴,"Colombia","Colombia","Colombie","Kolumbien","Colombia"
🇨🇵,"Clipperton Island","Isla Clipperton","Île Clipperton","Clipperton-Insel","Isola Clipperton"
🇨🇷,"Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica"
🇨🇺,"Cuba","Cuba","Cuba","Kuba","Cuba"
🇨🇻,"Cape Verde","Cabo Verde","Cap-Vert","Kap Verde","Capo Verde"
🇨🇼,"Curaçao","Curazao","Curaçao","Curaçao","Curaçao"
🇨🇽,"Christmas Island","Isla de Navidad","Île Christmas","Weihnachtsinsel","Isola di Natale"
🇨🇾,"Cyprus","Chipre","Chypre","Zypern","Cipro"
🇨🇿,"Czechia","Chequia","Tchéquie","Tschechien","Cechia"
🇩🇪,"Germany","Alemania","Allemagne","Deutschland","Germania"
🇩🇬,"Diego Garcia","Diego García","Diego Garcia","Diego Garcia","Diego Garcia"
🇩🇯,"Djibouti","Yibuti","Djibouti","Dschibuti","Gibuti"
🇩🇰,"Denmark","Dinamarca","Danemark","Dänemark","Danimarca"
🇩🇲,"Dominica","Dominica","Dominique","Dominica","Dominica"
🇩🇴,"Dominican Republic","República Dominicana","République dominicaine","Dominikanische Republik","Repubblica Dominicana"
🇩🇿,"Algeria","Argelia","Algérie","Algerien","Algeria"
🇪🇦,"Ceuta & Melilla","Ceuta y Melilla","Ceuta et Melilla","Ceuta und Melilla","Ceuta e Melilla"
🇪🇨,"Ecuador","Ecuador","Équateur","Ecuador","Ecuador"
🇪🇪,"Estonia","Estonia","Estonie","Estland","Estonia"
🇪🇬,"Egypt","Egipto","Égypte","Ägypten","Egitto"
🇪🇭,"Western Sahara","Sahara Occidental","Sahara occidental","Westsahara","Sahara Occidentale"
🇪🇷,"Eritrea","Eritrea","Érythrée","Eritrea","Eritrea"
🇪🇸,"Spain","España","Espagne","Spanien","Spagna"
🇪🇹,"Ethiopia","Etiopía","Éthiopie","Äthiopien","Etiopia"
🇪🇺,"European Union","Unión Europea","Union européenne","Europäische Union","Unione Europea"
🇫🇮,"Finland","Finlandia","Finlande","Finnland","Finlandia"
🇫🇯,"Fiji","Fiyi","Fidji","Fidschi","Figi"
🇫🇰,"Faroe Islands","Islas Feroe","Îles Féroé","Färöer-Inseln","Isole Faroe"
🇫🇲,"Micronesia","Micronesia","Micronésie","Mikronesien","Micronesia"
🇫🇴,"Faeroe Islands","Islas Feroe","Îles Féroé","Färöer-Inseln","Isole Faroe"
🇫🇷,"France","Francia","France","Frankreich","Francia"
🇬🇦,"Gabon","Gabón","Gabon","Gabun","Gabon"
🇬🇧,"United Kingdom","Reino Unido","Royaume-Uni","Vereinigtes Königreich","Regno Unito"
🇬🇩,"Grenada","Granada","Grenade","Grenada","Grenada"
🇬🇪,"Georgia","Georgia","Géorgie","Georgien","Georgia"
🇬🇫,"French Guiana","Guayana Francesa","Guyane française","Französisch-Guayana","Guyana francese"
🇬🇬,"Guernsey","Guernsey","Guernesey","Guernsey","Guernsey"
🇬🇭,"Ghana","Ghana","Ghana","Ghana","Ghana"
🇬🇮,"Gibraltar","Gibraltar","Gibraltar","Gibraltar","Gibilterra"
🇬🇱,"Greenland","Groenlandia","Groenland","Grönland","Groenlandia"
🇬🇲,"Gambia","Gambia","Gambie","Gambia","Gambia"
🇬🇳,"Guinea","Guinea","Guinée","Guinea","Guinea"
🇬🇵,"Guadeloupe","Guadalupe","Guadeloupe","Guadeloupe","Guadalupa"
🇬🇶,"Equatorial Guinea","Guinea Ecuatorial","Guinée équatoriale","Äquatorialguinea","Guinea Equatoriale"
🇬🇷,"Greece","Grecia","Grèce","Griechenland","Grecia"
🇬🇸,"South Georgia & South Sandwich Islands","Islas Georgias del Sur y Sandwich del Sur","Îles Géorgie du Sud et Sandwich du Sud","Südgeorgien und die Südlichen Sandwichinseln","Isole Georgia del Sud e Sandwich del Sud"
🇬🇹,"Guatemala","Guatemala","Guatemala","Guatemala","Guatemala"
🇬🇺,"Guam","Guam","Guam","Guam","Guam"
🇬🇼,"Guinea-Bissau","Guinea-Bisáu","Guinée-Bissau","Guinea-Bissau","Guinea-Bissau"
🇬🇾,"Guyana","Guyana","Guyana","Guyana","Guyana"
🇭🇰,"Hong Kong SAR China","Hong Kong","Hong Kong","Hongkong","Hong Kong"
